,Time Stamp,temp,feelslike,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,conditions,Time Zone,Name,PTID,Load
0,2019-01-01 00:00:00,46.9,44.3,96.24,28.9,5.4,114.0,1009.0,99.0,2.8,"Rain, Overcast",EST,N.Y.C.,61761,5020.1
1,2019-01-01 01:00:00,46.9,46.9,97.19,30.1,0.0,0.0,1007.4,99.0,3.2,"Rain, Overcast",EST,N.Y.C.,61761,4834.7
2,2019-01-01 02:00:00,49.5,49.5,,31.099999999999998,2.7,243.0,1005.2,98.4,6.3,"Rain, Overcast",EST,N.Y.C.,61761,4633.1
3,2019-01-01 03:00:00,51.1,,,31.82857142857143,6.7,215.0,1003.3,100.0,3.5,Overcast,EST,N.Y.C.,61761,4455.2
4,2019-01-01 04:00:00,51.9,,,32.0125,13.7,250.0,1003.0,98.9,3.2,"Rain, Overcast",EST,N.Y.C.,61761,4336.8
5,2019-01-01 05:00:00,53.4,51.6,62.622811904761896,25.3,13.0,246.0,1002.2,99.0,5.9,Overcast,EST,N.Y.C.,61761,4306.2
6,2019-01-01 06:00:00,55.0,46.55,58.877660389610384,33.900000000000006,12.9,256.0,1003.0,93.1,9.9,Overcast,EST,N.Y.C.,61761,4347.4
7,2019-01-01 07:00:00,57.0,44.26666666666667,51.38,27.7,18.3,246.0,1002.8,20.8,9.9,"Rain, Partially cloudy",EST,N.Y.C.,61761,4453.0
8,2019-01-01 08:00:00,57.2,42.75,52.09,31.8,20.0,236.0,1003.9,75.5,9.9,Partially cloudy,EST,N.Y.C.,61761,4532.0
9,2019-01-01 09:00:00,58.1,41.68,53.70333333333334,30.8,18.7,250.0,1005.1,61.2,9.9,Partially cloudy,EST,N.Y.C.,61761,4693.2
10,2019-01-01 10:00:00,58.4,40.949999999999996,54.722500000000004,34.9,24.2,270.0,1006.2,75.5,9.9,Partially cloudy,EST,N.Y.C.,61761,4862.8
11,2019-01-01 11:00:00,58.1,40.32857142857143,55.577999999999996,36.1,24.5,282.0,1007.7,51.6,9.9,Partially cloudy,EST,N.Y.C.,61761,4984.4
12,2019-01-01 12:00:00,56.0,39.787499999999994,55.395,36.2,20.3,314.0,1008.5,20.8,9.9,Partially cloudy,EST,N.Y.C.,61761,5087.8
13,2019-01-01 13:00:00,55.0,39.29999999999999,55.08428571428572,33.3,24.1,324.0,1009.3,17.0,9.9,Clear,EST,N.Y.C.,61761,5093.5
14,2019-01-01 14:00:00,51.6,51.6,54.845,37.2,24.3,322.0,1011.1,71.7,9.9,Partially cloudy,EST,N.Y.C.,61761,5154.4
15,2019-01-01 15:00:00,49.0,41.5,55.04333333333333,37.1,24.8,320.0,1013.6,80.6,9.9,Partially cloudy,EST,N.Y.C.,61761,5169.6
16,2019-01-01 16:00:00,47.5,39.7,51.38,34.6,23.4,320.0,1015.3,50.8,9.9,Partially cloudy,EST,N.Y.C.,61761,5282.2
17,2019-01-01 17:00:00,45.6,38.2,52.8,33.3,17.9,326.0,1016.6,83.9,9.9,Partially cloudy,EST,N.Y.C.,61761,5573.8
18,2019-01-01 18:00:00,44.6,37.4,56.93,28.5,16.3,314.0,1017.8,77.5,9.9,Partially cloudy,EST,N.Y.C.,61761,5689.8
19,2019-01-01 19:00:00,44.2,37.3,57.78,31.1,14.8,318.0,1018.6,53.6,9.9,Partially cloudy,EST,N.Y.C.,61761,5679.5
20,2019-01-01 20:00:00,43.5,36.6,59.0,21.9,13.9,324.0,1019.7,53.0,9.9,Partially cloudy,EST,N.Y.C.,61761,5595.7
21,2019-01-01 21:00:00,43.2,36.0,54.48,23.0,15.0,330.0,1020.4,25.9,9.9,Partially cloudy,EST,N.Y.C.,61761,5517.7
22,2019-01-01 22:00:00,42.5,35.4,53.22,20.799999999999997,13.8,332.0,1020.2,45.9,9.9,Partially cloudy,EST,N.Y.C.,61761,5360.4
23,2019-01-01 23:00:00,41.4,34.2,53.17,21.9,13.4,314.0,1020.6,95.7,9.9,Overcast,EST,N.Y.C.,61761,5074.6
0,2019-01-02 00:00:00,40.1,32.5,56.63,19.7,13.4,334.0,1021.6,80.8,9.9,Partially cloudy,EST,N.Y.C.,61761,4766.4
1,2019-01-02 01:00:00,38.6,31.0,57.65,19.7,12.2,330.0,1022.1,20.8,9.9,Partially cloudy,EST,N.Y.C.,61761,4536.1
2,2019-01-02 02:00:00,38.2,30.8,57.98,19.7,11.6,332.0,1022.8,29.0,9.9,Partially cloudy,EST,N.Y.C.,61761,4404.3
