,Time Stamp,temp,feelslike,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,conditions,Time Zone,Name,PTID,Load
0,2018-01-01 00:00:00,9.2,-5.4,55.55,19.7,11.3,312.0,1026.5,4.4,9.9,Clear,EST,N.Y.C.,61761,6198.0
1,2018-01-01 01:00:00,9.2,-5.6,55.97,20.8,11.6,306.0,1026.7,0.0,9.9,Clear,EST,N.Y.C.,61761,6019.7
2,2018-01-01 02:00:00,9.1,-6.0,55.91,20.2,12.0,302.0,1026.9,0.0,9.9,Clear,EST,N.Y.C.,61761,5818.4
3,2018-01-01 03:00:00,8.3,-6.2,58.0,19.7,10.7,308.0,1027.3,0.0,9.9,Clear,EST,N.Y.C.,61761,5687.6
4,2018-01-01 04:00:00,8.1,-5.6,56.1,24.7875,9.7,306.0,1027.3,0.0,9.9,Clear,EST,N.Y.C.,61761,5557.5
5,2018-01-01 05:00:00,8.1,-7.3,56.53,20.8,12.1,300.0,1027.9,0.0,9.9,Clear,EST,N.Y.C.,61761,5570.0
6,2018-01-01 06:00:00,7.3,-6.4,58.67,24.344444444444445,9.3,316.0,1027.9,0.0,9.9,Clear,EST,N.Y.C.,61761,5621.5
7,2018-01-01 07:00:00,7.2,-8.1,45.36999461451247,27.7,11.4,298.0,1028.2,10.5,9.9,Clear,EST,N.Y.C.,61761,5741.3
8,2018-01-01 08:00:00,7.5,-6.4,35.36,19.8,11.233333333333334,302.0,1028.3,4.4,9.9,Clear,EST,N.Y.C.,61761,5867.5
9,2018-01-01 09:00:00,8.7,-5.9,34.894999999999996,28.7,11.171428571428573,298.0,1028.7,10.5,9.9,Clear,EST,N.Y.C.,61761,6040.5
10,2018-01-01 10:00:00,11.4,-3.2,36.11333333333333,27.8,10.6125,316.0,1029.1,10.5,9.9,Clear,EST,N.Y.C.,61761,6199.7
